date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:35	20711/20711	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2010:13:36%20GMT	https://www.anahotelandapartments.com/gallery	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/gallery.html	(from https://www.anahotelandapartments.com/)
11:13:36	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:36%20GMT	https://www.anahotelandapartments.com/contact.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/contact.php	(from https://www.anahotelandapartments.com/)
11:13:36	18698/18698	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2010:13:36%20GMT	https://www.anahotelandapartments.com/contact	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/contact.html	(from https://www.anahotelandapartments.com/)
11:13:36	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:36%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.php	(from https://www.anahotelandapartments.com/)
11:13:39	481947/481947	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Apr%202023%2011:04:28%20GMT	https://www.anahotelandapartments.com/img/home-about/home-about.png	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/home-about/home-about.png	(from https://www.anahotelandapartments.com/)
11:13:39	1255/1255	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jan%202024%2017:18:44%20GMT	https://www.anahotelandapartments.com/img/services/services-7.png	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/services/services-7.png	(from https://www.anahotelandapartments.com/)
11:13:39	1093/1093	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Dec%202023%2004:05:01%20GMT	https://www.anahotelandapartments.com/img/services/services-2.png	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/services/services-2.png	(from https://www.anahotelandapartments.com/)
11:13:40	913/913	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jan%202024%2017:18:44%20GMT	https://www.anahotelandapartments.com/img/services/services-8.png	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/services/services-8.png	(from https://www.anahotelandapartments.com/)
11:13:40	3215/3215	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202023%2003:43:44%20GMT	https://www.anahotelandapartments.com/img/services/services-6.png	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/services/services-6.png	(from https://www.anahotelandapartments.com/)
11:13:41	97947/97947	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Apr%202023%2007:48:08%20GMT	https://www.anahotelandapartments.com/img/rooms/hotelpicss.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/rooms/hotelpicss.jpg	(from https://www.anahotelandapartments.com/)
